review_id,product_id,user_id,rating,comment,created_at,updated_at
42,374,960,4,Amazing quality,2021-04-04 09:31:54,2022-05-25 05:28:18
43,201,998,4,Fantastic product,2021-03-30 09:41:44,2022-12-20 07:46:54
44,403,700,5,highly recommend!,2021-02-27 04:59:29,2022-07-30 12:06:01
45,408,529,3,Fantastic product,2021-05-21 21:14:20,2022-08-22 13:36:47
46,351,554,3,exceeded my expectations,2021-01-07 09:08:38,2022-04-10 21:58:04
47,272,399,3,Impressed with the durability and design,2021-02-09 01:09:05,2022-08-11 07:17:47
48,166,87,5,exceeded my expectations,2021-03-06 06:45:49,2022-09-21 22:54:43
49,371,437,4,exceeded my expectations,2021-04-13 13:44:23,2022-09-18 14:44:46
50,457,298,3,Incredible product,2021-07-02 20:47:33,2022-07-18 16:18:31
51,118,558,4,Couldn't be happier with my purchase,2021-06-24 03:31:54,2022-04-23 02:40:02
52,495,944,4,great value for the price,2021-07-11 07:31:27,2022-09-04 08:23:37
53,178,167,4,Best purchase ever,2021-12-21 09:13:02,2022-01-16 00:41:57
54,46,243,4,Incredible product,2021-06-28 01:13:03,2022-07-04 09:25:20
55,87,872,5,Couldn't be happier with my purchase,2021-09-21 21:53:52,2022-08-28 19:55:56
56,409,775,3,will definitely buy again,2021-05-07 21:24:02,2022-10-22 17:01:24
57,458,223,3,Impressed with the durability and design,2021-01-22 09:13:18,2022-07-26 18:12:00
58,498,979,4,Highly satisfied with the performance and features,2021-03-20 04:14:30,2022-03-06 07:58:18
59,104,572,5,exceeded my expectations,2021-03-07 18:15:31,2022-10-21 14:31:28
60,340,179,4,will definitely buy again,2021-01-05 13:39:15,2022-09-06 21:37:13
61,364,621,5,Fantastic product,2021-04-20 10:09:07,2022-08-30 05:29:08
62,306,282,4,Incredible product,2021-12-15 17:49:47,2022-11-14 03:45:05
63,496,237,3,will definitely buy again,2021-06-27 00:29:25,2022-10-04 00:49:20
64,128,107,5,Best purchase ever,2021-11-22 22:53:41,2022-07-12 19:34:24
65,59,143,3,highly recommend!,2021-10-11 04:37:29,2022-12-21 16:07:10
66,178,63,3,Highly satisfied with the performance and features,2021-12-17 08:58:32,2022-07-22 23:41:53
67,230,303,4,exceeded my expectations,2021-02-13 22:54:21,2022-11-06 05:05:56
68,259,714,3,Excellent customer service and product quality,2021-09-01 09:28:13,2022-06-20 07:31:18
69,388,771,3,Highly satisfied with the performance and features,2021-05-21 01:12:29,2022-04-28 14:57:14
70,380,466,5,Fantastic product,2021-10-03 22:02:50,2022-07-21 06:05:27
71,305,647,3,Absolutely love this product,2021-10-24 03:16:35,2022-04-11 05:11:03
72,84,519,3,Incredible product,2021-06-16 22:46:50,2022-02-02 14:06:51
73,375,616,5,Highly satisfied with the performance and features,2021-09-29 16:21:27,2022-08-20 10:23:45
74,267,800,3,exceeded my expectations,2021-05-28 18:03:34,2022-04-22 19:00:02
75,14,555,4,great value for the price,2021-11-05 01:35:39,2022-05-21 03:41:13
76,174,625,5,great value for the price,2021-10-28 18:44:51,2022-01-05 21:04:42
77,47,202,4,Absolutely love this product,2021-10-05 03:10:20,2022-11-04 20:41:15
78,369,712,3,it's a game-changer,2021-11-17 22:07:37,2022-12-28 20:54:26
79,160,16,3,will definitely buy again,2021-01-19 17:55:52,2022-05-25 20:10:57
80,151,852,4,will definitely buy again,2021-02-21 15:58:34,2022-04-17 11:29:25
81,111,360,5,exceeded my expectations,2021-12-12 22:16:20,2022-05-01 08:11:33
82,320,235,5,great value for the price,2021-07-05 08:23:24,2022-12-22 03:18:52
83,428,95,4,Couldn't be happier with my purchase,2021-01-31 12:08:29,2022-02-24 13:05:52
84,404,48,5,Absolutely love this product,2021-01-15 21:18:44,2022-09-04 01:35:14
85,317,219,4,Amazing quality,2021-06-12 12:16:51,2022-07-15 20:23:03
86,95,172,4,great value for the price,2021-03-26 20:09:39,2022-09-07 04:57:47
87,432,466,5,highly recommend!,2021-12-07 01:15:00,2022-01-12 18:37:57
88,462,974,4,Incredible product,2021-05-05 11:07:59,2022-11-26 07:06:02
89,287,151,3,exceeded my expectations,2021-12-14 04:30:06,2022-02-17 14:07:46
90,388,219,4,Excellent customer service and product quality,2021-05-07 20:25:37,2022-06-27 16:09:38
91,226,689,4,will definitely buy again,2021-11-28 19:09:42,2022-07-27 00:04:39
92,264,775,4,worth every penny,2021-01-25 11:44:11,2022-08-31 20:04:36
93,374,337,3,great value for the price,2021-03-26 07:03:16,2022-02-22 15:01:19
94,152,677,4,worth every penny,2021-03-16 21:24:52,2022-07-01 20:39:09
95,216,835,3,Excellent customer service and product quality,2021-08-15 12:49:46,2022-01-24 22:01:39
96,252,892,3,Amazing quality,2021-11-20 15:59:10,2022-07-07 04:13:39
97,499,833,5,worth every penny,2021-10-05 00:04:38,2022-03-14 11:28:00
98,229,607,5,Top-notch quality,2021-10-27 05:35:48,2022-02-02 19:30:34
99,118,327,3,great value for the price,2021-09-18 01:49:24,2022-12-29 10:19:04
100,22,404,5,Incredible product,2021-01-19 12:25:26,2022-07-21 21:09:33
101,461,805,4,will definitely buy again,2021-02-18 13:45:02,2022-10-19 19:45:35
102,462,405,5,Couldn't be happier with my purchase,2021-07-01 16:41:45,2022-12-07 04:13:22
103,208,592,5,Best purchase ever,2021-06-15 22:55:53,2022-07-24 17:25:12
104,208,770,4,exceeded my expectations,2021-12-11 22:32:42,2022-07-19 16:55:39
105,203,678,3,Impressed with the durability and design,2021-12-20 02:41:52,2022-03-03 10:16:48
106,350,549,4,exceeded my expectations,2021-05-05 21:46:57,2022-02-10 12:20:13
107,486,527,4,Excellent customer service and product quality,2021-09-29 05:58:49,2022-11-11 16:38:37
108,203,366,4,Couldn't be happier with my purchase,2021-10-31 08:18:59,2022-12-20 22:57:26
109,224,183,4,highly recommend!,2021-04-02 08:56:20,2022-12-01 12:55:11
110,13,928,5,Absolutely love this product,2021-03-14 18:46:00,2022-02-07 15:08:43
111,217,412,5,Impressed with the durability and design,2021-11-07 03:06:45,2022-10-29 21:04:17
112,20,875,4,worth every penny,2021-12-27 15:12:31,2022-05-19 00:13:08
113,423,448,4,worth every penny,2021-01-15 05:35:23,2022-06-25 22:11:20
114,95,920,3,it's a game-changer,2021-03-19 01:08:36,2022-11-12 00:43:16
115,16,692,4,will definitely buy again,2021-04-13 03:16:01,2022-12-06 23:46:51
116,66,475,3,Fantastic product,2021-12-20 21:03:17,2022-05-15 07:18:30
117,113,69,3,Incredible product,2021-09-25 08:46:20,2022-06-07 17:22:42
118,302,395,3,Fantastic product,2021-10-23 03:43:49,2022-01-17 21:05:29
119,179,636,3,Fantastic product,2021-09-14 17:15:49,2022-09-04 01:03:43
120,267,869,3,highly recommend!,2021-07-02 04:56:13,2022-12-30 10:55:32
121,333,135,4,will definitely buy again,2021-05-25 18:25:21,2022-07-29 06:26:10
122,277,436,5,Impressed with the durability and design,2021-02-22 05:51:23,2022-04-20 09:00:41
123,118,78,4,Couldn't be happier with my purchase,2021-09-14 14:28:43,2022-05-11 22:29:07
124,29,83,4,Couldn't be happier with my purchase,2021-02-05 15:53:11,2022-04-20 07:23:02
125,265,832,3,worth every penny,2021-11-30 03:47:52,2022-02-17 10:24:31
126,165,120,4,worth every penny,2021-11-18 22:33:51,2022-01-24 05:28:09
127,401,720,5,will definitely buy again,2021-02-05 17:33:17,2022-07-12 03:55:40
128,185,140,5,Absolutely love this product,2021-05-31 18:30:38,2022-06-22 02:06:57
129,218,834,3,Fantastic product,2021-03-29 20:35:38,2022-11-13 09:34:34
130,61,628,4,worth every penny,2021-06-25 13:14:00,2022-12-19 15:24:15
131,311,102,4,exceeded my expectations,2021-08-04 11:52:02,2022-07-19 19:39:02
132,332,200,4,exceeded my expectations,2021-02-26 15:24:26,2022-11-20 21:15:10
133,173,954,3,great value for the price,2021-07-15 22:09:36,2022-06-28 19:24:31
134,25,698,4,Amazing quality,2021-03-01 03:49:34,2022-05-19 14:23:09
135,19,945,3,Incredible product,2021-06-15 02:52:58,2022-01-23 18:55:47
136,262,199,5,highly recommend!,2021-05-17 18:24:09,2022-10-11 16:38:17
137,79,80,5,will definitely buy again,2021-09-02 11:09:12,2022-10-15 06:09:08
138,90,193,3,Impressed with the durability and design,2021-09-08 03:29:06,2022-05-02 16:55:05
139,67,228,5,Impressed with the durability and design,2021-11-08 21:57:29,2022-09-17 13:38:37
140,89,730,3,Fantastic product,2021-04-28 17:52:51,2022-12-23 03:35:17
141,130,983,5,great value for the price,2021-12-09 20:00:33,2022-05-24 04:12:19
142,17,726,4,Incredible product,2021-08-30 06:27:37,2022-01-10 20:30:13
143,293,638,5,Best purchase ever,2021-09-26 02:13:04,2022-12-06 15:26:34
144,476,242,4,Couldn't be happier with my purchase,2021-11-17 07:55:47,2022-01-12 11:34:35
145,92,170,5,Excellent customer service and product quality,2021-11-15 19:42:59,2022-03-12 11:31:44
146,169,801,3,Best purchase ever,2021-08-06 03:44:51,2022-12-14 12:14:04
147,189,417,4,Top-notch quality,2021-08-01 04:23:44,2022-05-29 05:08:21
148,9,974,5,it's a game-changer,2021-01-11 14:01:13,2022-12-26 05:17:53
149,141,866,5,Incredible product,2021-02-06 06:03:28,2022-05-22 01:03:09
150,225,578,5,exceeded my expectations,2021-04-19 08:14:00,2022-11-10 19:05:30
151,266,167,3,Amazing quality,2021-08-02 04:57:25,2022-04-16 17:18:43
152,493,406,4,worth every penny,2021-10-15 07:44:29,2022-04-21 18:29:30
153,142,588,5,Top-notch quality,2021-08-05 18:39:30,2022-09-18 12:55:01
154,442,218,5,Incredible product,2021-05-28 10:22:31,2022-02-10 09:54:21
155,166,495,5,it's a game-changer,2021-11-19 14:29:37,2022-10-21 14:27:20
156,458,803,5,Top-notch quality,2021-11-25 00:18:35,2022-02-02 22:51:19
157,82,169,3,Absolutely love this product,2021-09-10 10:15:21,2022-02-23 23:30:31
158,66,531,3,exceeded my expectations,2021-03-22 14:47:52,2022-05-07 23:39:54
159,194,792,4,Couldn't be happier with my purchase,2021-01-07 05:12:31,2022-09-11 21:27:42
160,242,942,4,exceeded my expectations,2021-10-25 00:40:09,2022-01-30 08:00:37
161,497,264,5,Amazing quality,2021-06-26 13:58:32,2022-01-30 14:10:58
162,448,527,4,it's a game-changer,2021-07-04 08:23:55,2022-08-24 12:22:17
163,379,140,3,Top-notch quality,2021-04-25 08:36:30,2022-06-29 05:35:14
164,243,459,5,Highly satisfied with the performance and features,2021-03-20 15:49:30,2022-01-26 13:06:28
165,429,32,4,it's a game-changer,2021-07-05 19:55:21,2022-11-09 20:10:00
166,8,342,4,Excellent customer service and product quality,2021-11-29 00:02:40,2022-11-09 19:42:33
167,159,7,4,exceeded my expectations,2021-04-22 14:43:33,2022-02-17 10:20:54
168,356,226,3,Incredible product,2021-12-11 15:50:08,2022-02-05 23:57:26
169,16,58,4,Top-notch quality,2021-04-04 11:31:57,2022-04-10 21:24:53
170,394,815,4,will definitely buy again,2021-11-21 11:12:43,2022-04-12 03:43:23
171,198,193,3,Best purchase ever,2021-07-09 01:57:27,2022-03-25 17:37:46
172,238,834,3,Impressed with the durability and design,2021-05-16 23:58:49,2022-11-25 11:39:08
173,286,497,3,Impressed with the durability and design,2021-03-12 11:28:22,2022-01-05 04:21:57
174,93,62,3,Excellent customer service and product quality,2021-04-22 04:08:29,2022-07-13 12:07:40
175,248,29,5,Excellent customer service and product quality,2021-02-14 22:27:45,2022-07-15 16:23:26
176,334,751,4,will definitely buy again,2021-11-11 13:31:48,2022-09-15 17:15:21
177,372,318,3,Fantastic product,2021-08-24 18:05:41,2022-05-20 01:33:22
178,466,67,5,exceeded my expectations,2021-09-09 09:51:36,2022-04-18 21:45:24
179,112,975,4,it's a game-changer,2021-08-17 22:44:46,2022-06-23 15:38:10
180,244,150,4,Impressed with the durability and design,2021-05-01 00:55:46,2022-10-10 15:18:18
181,160,412,3,Top-notch quality,2021-07-28 21:22:15,2022-01-30 15:36:31
182,449,549,5,Highly satisfied with the performance and features,2021-12-06 23:25:39,2022-07-25 23:23:07
183,85,457,3,Absolutely love this product,2021-03-28 14:45:34,2022-08-01 02:15:20
184,334,378,5,Absolutely love this product,2021-10-14 04:47:37,2022-03-10 04:45:41
185,381,121,4,Amazing quality,2021-03-04 19:12:44,2022-05-01 15:01:03
186,159,576,3,Absolutely love this product,2021-09-07 05:10:16,2022-01-27 21:46:44
187,20,366,4,Fantastic product,2021-10-18 12:48:35,2022-02-13 03:12:47
188,156,837,4,it's a game-changer,2021-01-28 19:02:56,2022-08-11 09:30:02
189,311,288,5,Highly satisfied with the performance and features,2021-06-16 19:59:43,2022-08-14 14:28:21
190,146,524,4,Highly satisfied with the performance and features,2021-09-20 15:19:30,2022-09-28 13:18:31
191,285,594,3,worth every penny,2021-10-10 14:24:41,2022-03-26 20:01:32
192,250,234,4,Impressed with the durability and design,2021-03-04 00:52:16,2022-07-27 17:49:59
193,396,119,3,will definitely buy again,2021-09-22 21:37:24,2022-07-20 02:02:56
194,71,363,5,Incredible product,2021-08-06 11:43:09,2022-04-07 21:37:46
195,253,141,4,Amazing quality,2021-07-12 10:39:32,2022-01-12 08:07:48
196,46,927,3,Impressed with the durability and design,2021-07-11 21:01:20,2022-05-27 12:52:03
197,34,564,3,great value for the price,2021-05-05 18:06:36,2022-08-22 15:26:18
198,288,132,5,will definitely buy again,2021-06-15 02:10:26,2022-05-20 12:05:20
199,69,950,5,will definitely buy again,2021-04-20 15:23:31,2022-07-23 01:57:34
200,301,42,4,Fantastic product,2021-03-22 12:00:49,2022-09-18 09:20:14
201,33,184,4,Incredible product,2021-01-14 20:16:59,2022-02-01 10:30:07
202,328,623,5,Incredible product,2021-10-18 11:16:34,2022-10-25 04:49:36
203,218,669,3,great value for the price,2021-09-23 21:45:12,2022-05-21 19:07:58
204,285,207,3,Top-notch quality,2021-04-29 14:56:09,2022-09-25 18:46:23
205,373,968,5,Top-notch quality,2021-04-10 10:27:58,2022-04-30 12:32:26
206,115,595,3,Top-notch quality,2021-05-09 19:40:03,2022-09-27 05:17:10
207,391,521,3,Top-notch quality,2021-10-24 10:24:29,2022-01-11 10:23:53
208,137,986,3,Absolutely love this product,2021-02-01 23:51:07,2022-04-07 00:54:30
209,19,70,4,will definitely buy again,2021-06-30 21:10:30,2022-04-05 15:01:52
210,145,840,4,will definitely buy again,2021-07-06 10:02:08,2022-07-08 08:21:49
211,237,308,3,Impressed with the durability and design,2021-05-26 19:04:56,2022-10-20 20:12:52
212,287,958,4,it's a game-changer,2021-07-10 01:50:47,2022-10-15 05:42:37
213,158,838,4,Incredible product,2021-06-15 14:52:31,2022-04-13 01:31:38
214,286,566,3,exceeded my expectations,2021-12-15 13:26:47,2022-11-10 03:31:38
215,175,521,3,Impressed with the durability and design,2021-09-02 06:05:06,2022-12-17 23:52:50
216,254,860,5,Fantastic product,2021-06-01 07:21:07,2022-09-06 09:10:55
217,49,162,5,Impressed with the durability and design,2021-04-30 10:41:26,2022-02-09 12:17:50
218,494,323,5,Top-notch quality,2021-09-12 11:52:32,2022-06-12 13:49:56
219,141,457,3,Couldn't be happier with my purchase,2021-08-14 11:44:28,2022-11-21 19:46:53
220,171,314,3,it's a game-changer,2021-08-08 21:17:22,2022-10-18 20:05:41
221,166,309,3,Best purchase ever,2021-04-01 12:51:13,2022-02-21 00:34:00
222,268,480,3,Fantastic product,2021-05-19 04:14:28,2022-11-10 19:05:43
223,320,432,3,Best purchase ever,2021-05-07 09:38:46,2022-09-08 18:10:42
224,316,213,4,Highly satisfied with the performance and features,2021-11-20 21:36:39,2022-10-29 14:09:27
225,493,584,4,great value for the price,2021-04-15 10:24:36,2022-10-01 14:06:52
226,55,578,3,it's a game-changer,2021-01-18 14:36:53,2022-07-28 23:03:10
227,268,523,5,great value for the price,2021-01-26 16:30:47,2022-03-24 02:20:28
228,247,775,4,Fantastic product,2021-08-12 10:51:23,2022-08-24 20:30:05
229,119,694,3,it's a game-changer,2021-11-11 19:43:24,2022-03-30 12:27:47
230,52,144,5,it's a game-changer,2021-09-28 18:37:04,2022-01-24 23:47:22
231,337,501,5,Impressed with the durability and design,2021-03-03 02:53:26,2022-05-13 01:58:09
232,349,287,4,Fantastic product,2021-12-24 11:16:25,2022-07-19 18:50:25
233,120,681,3,great value for the price,2021-08-14 14:10:09,2022-12-15 10:21:19
234,150,242,3,worth every penny,2021-07-04 21:54:58,2022-11-14 23:59:55
235,434,550,3,worth every penny,2021-04-09 00:29:39,2022-04-09 18:33:19
236,148,645,3,worth every penny,2021-03-25 14:22:08,2022-09-16 14:48:19
237,205,237,4,worth every penny,2021-08-19 11:24:42,2022-01-25 16:45:37
238,228,703,4,Top-notch quality,2021-09-30 17:50:47,2022-12-23 04:13:11
239,116,346,3,Amazing quality,2021-10-29 12:50:58,2022-06-30 15:26:06
240,152,465,5,Highly satisfied with the performance and features,2021-12-08 00:02:29,2022-02-04 22:23:42
241,456,38,3,will definitely buy again,2021-06-28 00:10:16,2022-07-30 14:08:46
242,250,740,3,it's a game-changer,2021-07-24 20:42:15,2022-01-23 13:02:49
243,262,957,3,Fantastic product,2021-08-17 17:42:08,2022-04-06 05:58:56
244,347,550,5,Absolutely love this product,2021-12-02 00:35:38,2022-08-30 04:26:36
245,353,364,4,Amazing quality,2021-02-04 08:53:12,2022-03-19 08:15:35
246,498,86,5,Amazing quality,2021-06-16 07:23:03,2022-07-01 03:41:52
247,400,723,3,Excellent customer service and product quality,2021-07-06 17:02:09,2022-10-29 17:16:43
248,159,632,5,Absolutely love this product,2021-11-04 13:40:50,2022-06-21 13:39:50
249,224,271,3,highly recommend!,2021-07-08 08:07:51,2022-10-28 18:16:13
250,331,10,3,will definitely buy again,2021-03-09 09:06:55,2022-11-26 11:52:27
251,13,512,4,Best purchase ever,2021-12-24 00:06:47,2022-04-24 21:34:50
252,404,180,3,exceeded my expectations,2021-04-06 09:27:51,2022-03-07 23:32:07
253,84,892,4,Absolutely love this product,2021-11-09 04:46:51,2022-12-03 02:40:25
254,351,537,4,Couldn't be happier with my purchase,2021-06-24 16:10:10,2022-11-11 09:01:49
255,13,210,5,worth every penny,2021-07-16 06:32:56,2022-09-13 00:35:59
256,277,441,5,Incredible product,2021-04-09 18:02:50,2022-02-19 07:38:05
257,293,124,4,Excellent customer service and product quality,2021-12-08 04:08:24,2022-08-12 10:30:32
258,440,675,3,highly recommend!,2021-05-12 16:39:34,2022-06-20 14:46:36
259,103,786,4,highly recommend!,2021-07-13 13:30:32,2022-06-27 17:34:22
260,222,511,4,worth every penny,2021-04-22 11:09:38,2022-07-31 11:13:18
261,306,997,3,Top-notch quality,2021-09-08 10:51:17,2022-05-03 01:23:04
262,479,36,4,Incredible product,2021-11-20 07:55:33,2022-08-04 04:35:44
263,300,918,4,Couldn't be happier with my purchase,2021-07-12 07:52:01,2022-02-08 04:09:15
264,24,874,4,Highly satisfied with the performance and features,2021-10-05 13:11:55,2022-08-26 18:19:40
265,381,146,5,Incredible product,2021-05-03 06:38:29,2022-09-01 23:19:16
266,356,957,3,it's a game-changer,2021-03-06 06:04:14,2022-08-04 03:26:38
267,277,570,3,Impressed with the durability and design,2021-10-17 20:15:37,2022-06-02 11:39:16
268,36,441,5,worth every penny,2021-03-10 04:40:56,2022-07-24 23:32:37
269,63,164,4,Fantastic product,2021-05-20 22:16:53,2022-01-20 15:57:29
270,207,458,3,Top-notch quality,2021-05-07 13:42:47,2022-10-29 23:18:19
271,197,598,5,Highly satisfied with the performance and features,2021-10-28 18:14:17,2022-04-04 18:54:24
272,149,425,4,Best purchase ever,2021-05-14 04:38:02,2022-02-22 21:34:52
273,293,676,4,it's a game-changer,2021-08-10 02:16:52,2022-01-05 01:31:47
274,381,114,4,Best purchase ever,2021-06-24 11:06:56,2022-11-23 07:36:45
275,391,337,4,worth every penny,2021-09-14 05:07:37,2022-08-05 19:06:33
276,499,343,4,Fantastic product,2021-09-16 21:44:01,2022-09-07 10:13:25
277,482,137,3,Top-notch quality,2021-07-09 04:05:35,2022-05-08 08:59:03
278,174,457,5,great value for the price,2021-09-12 19:12:44,2022-05-10 09:49:15
279,406,620,4,highly recommend!,2021-02-22 04:58:08,2022-08-22 11:34:54
280,473,1000,4,Absolutely love this product,2021-09-09 18:46:54,2022-05-25 13:29:33
281,321,346,4,Couldn't be happier with my purchase,2021-05-16 02:25:07,2022-06-16 20:48:50
282,79,204,4,Amazing quality,2021-06-18 02:07:40,2022-01-05 21:36:34
283,31,837,4,exceeded my expectations,2021-07-06 22:00:40,2022-04-08 09:45:00
284,155,421,3,Best purchase ever,2021-01-20 11:20:52,2022-09-10 10:52:11
285,102,318,5,Excellent customer service and product quality,2021-07-19 12:48:32,2022-04-08 04:27:35
286,361,842,5,great value for the price,2021-11-30 03:21:02,2022-11-27 20:16:45
287,229,569,4,Impressed with the durability and design,2021-03-19 11:30:15,2022-04-05 11:09:27
288,23,450,5,worth every penny,2021-08-07 19:44:51,2022-02-04 12:54:32
289,69,863,4,Couldn't be happier with my purchase,2021-09-02 17:21:46,2022-03-16 07:25:53
290,496,486,4,great value for the price,2021-12-04 11:43:43,2022-06-16 04:47:08
291,235,346,5,Best purchase ever,2021-11-24 06:21:06,2022-12-03 03:47:25
292,288,122,4,great value for the price,2021-08-09 02:08:54,2022-04-19 06:19:09
293,58,546,3,Excellent customer service and product quality,2021-01-25 20:40:01,2022-01-31 18:11:46
294,4,601,4,Amazing quality,2021-12-26 12:51:36,2022-09-01 16:08:29
295,270,135,4,worth every penny,2021-03-13 05:23:00,2022-11-14 23:44:14
296,56,83,5,Impressed with the durability and design,2021-03-08 06:14:38,2022-04-08 19:31:46
297,389,384,4,Incredible product,2021-11-22 02:12:15,2022-07-21 10:24:50
298,172,683,5,Couldn't be happier with my purchase,2021-08-10 13:52:10,2022-04-09 20:22:29
299,406,659,3,highly recommend!,2021-11-30 08:55:21,2022-01-12 19:37:18
300,357,919,5,Impressed with the durability and design,2021-12-15 15:16:08,2022-02-14 19:51:18
301,396,892,4,it's a game-changer,2021-11-27 21:13:26,2022-07-05 05:57:17
302,364,770,3,Top-notch quality,2021-01-24 13:11:27,2022-11-28 18:01:50
303,351,900,5,Absolutely love this product,2021-11-28 16:12:28,2022-12-01 03:46:36
304,144,652,4,it's a game-changer,2021-07-17 15:55:26,2022-03-14 12:38:51
305,333,301,5,will definitely buy again,2021-12-17 09:37:23,2022-11-13 21:21:31
306,230,902,5,will definitely buy again,2021-04-03 02:34:02,2022-01-26 05:08:11
307,72,620,4,Absolutely love this product,2021-02-01 15:56:21,2022-08-24 18:55:14
308,181,740,4,Highly satisfied with the performance and features,2021-10-07 02:01:19,2022-12-17 06:58:35
309,333,290,5,Incredible product,2021-08-06 14:33:58,2022-12-25 20:38:59
310,314,358,5,worth every penny,2021-05-05 19:25:02,2022-11-10 09:14:49
311,446,702,3,exceeded my expectations,2021-01-25 14:53:36,2022-08-21 11:19:21
312,62,51,3,exceeded my expectations,2021-08-22 17:00:27,2022-01-31 23:02:23
313,342,182,4,exceeded my expectations,2021-08-31 12:55:30,2022-12-06 18:38:12
314,270,933,4,Amazing quality,2021-03-20 07:52:22,2022-03-21 17:14:32
315,463,23,5,Amazing quality,2021-10-16 20:29:10,2022-10-08 02:59:18
316,65,838,5,great value for the price,2021-11-18 11:10:50,2022-02-23 09:59:23
317,417,519,3,great value for the price,2021-02-08 14:02:40,2022-01-25 09:41:47
318,273,321,5,Amazing quality,2021-03-24 10:14:35,2022-09-18 11:53:01
319,27,156,4,Top-notch quality,2021-05-08 04:04:31,2022-03-28 10:32:44
320,324,611,4,exceeded my expectations,2021-01-17 03:28:18,2022-11-30 16:05:52
321,54,526,4,Incredible product,2021-01-09 08:20:06,2022-07-25 16:07:19
322,279,269,5,Highly satisfied with the performance and features,2021-05-08 02:08:11,2022-07-13 15:16:13
323,264,417,5,Best purchase ever,2021-02-25 06:51:00,2022-12-27 10:25:58
324,198,630,3,Best purchase ever,2021-10-12 15:14:57,2022-09-23 06:53:53
325,188,475,3,Fantastic product,2021-05-13 11:15:33,2022-08-16 08:07:24
326,334,117,5,will definitely buy again,2021-11-13 06:05:53,2022-10-08 17:36:37
327,389,941,3,Excellent customer service and product quality,2021-10-04 12:38:37,2022-01-11 18:41:47
