order_id,user_id,order_date,status,total_amount,shipping_address,created_at,updated_at
2023,443,2023-05-15 01:47:56,processing,1203.4,096 New Castle Terrace,2021-08-17 19:46:22,2022-05-23 20:11:42
2024,630,2023-10-02 22:33:06,delivered,4579.84,3 Schmedeman Avenue,2021-09-13 08:46:09,2022-10-04 16:13:57
2025,145,2023-10-21 18:13:04,shipped,3728.06,0 Valley Edge Junction,2021-09-23 17:28:51,2022-05-11 22:51:44
2026,132,2023-05-07 02:12:44,processing,4900.98,607 Fairview Parkway,2021-02-23 13:20:48,2022-01-18 17:54:31
2027,90,2023-05-20 01:11:39,shipped,7947.59,43 Golden Leaf Terrace,2021-08-22 06:49:40,2022-07-03 02:48:55
2028,136,2023-03-29 21:29:51,pending,784.22,68 Express Point,2021-12-21 17:44:45,2022-04-05 07:27:39
2029,99,2023-09-03 11:26:36,processing,3291.98,36907 Scott Point,2021-09-25 21:12:47,2022-09-28 04:08:06
2030,362,2023-05-20 17:17:38,processing,6280.38,6562 Eastwood Plaza,2021-01-05 20:47:56,2022-02-07 07:15:55
2031,565,2023-11-03 05:11:53,shipped,6094.01,451 Spenser Crossing,2021-05-07 02:51:47,2022-02-26 07:06:13
2032,812,2023-02-15 17:45:29,shipped,4168.91,3 Boyd Crossing,2021-08-11 07:40:01,2022-10-23 00:35:16
2033,21,2023-08-15 00:41:02,delivered,380.88,77 Grayhawk Junction,2021-04-29 05:57:12,2022-09-26 19:38:25
2034,383,2023-04-05 12:20:20,pending,6443.77,28743 Gerald Drive,2021-01-03 15:16:33,2022-05-25 07:55:03
2035,939,2023-03-23 22:10:23,processing,2306.8,695 Hermina Point,2021-07-14 07:26:22,2022-12-08 19:49:19
2036,476,2023-12-07 04:18:02,delivered,5336.95,50963 Beilfuss Pass,2021-08-18 13:33:03,2022-12-29 19:10:18
2037,451,2023-09-17 21:28:17,shipped,7713.05,836 Del Mar Pass,2021-09-16 08:28:12,2022-07-18 02:19:13
2038,569,2023-06-29 22:01:39,delivered,2022.38,48 Gateway Way,2021-06-30 00:11:02,2022-01-23 21:33:19
2039,658,2023-09-16 19:29:02,processing,7646.61,9760 Leroy Crossing,2021-07-10 16:42:46,2022-04-25 09:51:12
2040,241,2023-08-29 05:39:13,shipped,1523.61,05 Aberg Court,2021-10-06 10:24:21,2022-04-21 05:44:25
2041,394,2023-09-28 18:34:47,processing,7803.72,4621 Bobwhite Court,2021-02-25 03:26:20,2022-07-18 07:57:52
2042,872,2023-10-13 11:04:16,pending,2794.93,53070 Mitchell Terrace,2021-03-26 13:02:49,2022-03-21 11:32:07
2043,667,2023-11-11 06:54:32,processing,9667.52,53754 Johnson Trail,2021-06-24 08:48:08,2022-04-15 14:18:12
2044,439,2023-01-07 19:14:41,delivered,1128.12,7330 Kingsford Street,2021-02-18 04:19:33,2022-06-11 20:26:10
2045,541,2023-04-07 00:20:52,shipped,7708.29,49 Fallview Crossing,2021-07-05 04:30:05,2022-02-08 06:25:51
2046,840,2023-01-05 18:50:57,shipped,3787.66,19 Parkside Point,2021-03-18 08:14:02,2022-08-04 02:19:26
2047,657,2023-06-29 05:44:48,shipped,5551.64,2230 Knutson Court,2021-08-22 18:34:28,2022-10-14 23:53:40
2048,334,2023-10-01 01:17:01,pending,2221.26,785 Service Alley,2021-04-26 12:50:55,2022-03-12 16:33:49
2049,537,2023-09-08 06:54:06,processing,6270.16,9 Summit Junction,2021-08-12 19:48:31,2022-02-15 09:59:21
2050,519,2023-04-05 15:35:59,pending,2418.58,015 Sutherland Terrace,2021-10-30 21:37:11,2022-10-18 07:09:23
2051,739,2023-01-20 10:31:47,delivered,8463.73,4135 Marcy Crossing,2021-04-01 10:19:55,2022-05-14 11:18:31
2052,995,2023-12-05 17:27:28,delivered,3631.75,968 Annamark Center,2021-07-27 05:11:31,2022-01-29 18:13:47
2053,813,2023-07-01 19:26:48,shipped,8693.63,2179 Stephen Trail,2021-07-16 18:59:37,2022-04-23 01:18:46
2054,821,2023-12-07 05:24:39,delivered,2179.22,63 Londonderry Trail,2021-07-21 07:20:55,2022-04-16 18:17:44
2055,286,2023-02-06 02:28:42,shipped,2594.91,96363 Northport Crossing,2021-08-16 17:39:00,2022-12-13 08:05:24
2056,863,2023-09-14 15:53:57,shipped,4583.37,749 Harper Street,2021-04-05 04:16:43,2022-02-09 18:47:28
2057,156,2023-03-02 09:32:49,processing,2728.68,60191 Hooker Center,2021-08-30 01:03:01,2022-01-24 01:04:52
2058,811,2023-05-01 13:45:23,processing,8172.17,44 Jana Alley,2021-03-30 10:19:59,2022-07-09 07:48:36
2059,880,2023-04-12 01:10:41,shipped,2886.79,013 Sommers Avenue,2021-04-30 12:47:48,2022-07-17 01:19:31
2060,681,2023-08-29 22:54:37,pending,3904.33,9760 Hoepker Place,2021-10-05 17:09:08,2022-12-08 17:15:42
2061,339,2023-01-11 13:38:09,pending,4304.46,35 Melby Street,2021-06-04 22:10:11,2022-11-20 06:06:19
2062,278,2023-04-07 15:59:09,processing,6363.77,52642 Kenwood Crossing,2021-06-19 07:01:24,2022-08-06 12:26:35
2063,389,2023-12-23 07:33:27,shipped,7112.63,77 Stuart Avenue,2021-02-10 13:36:28,2022-12-01 23:59:20
2064,755,2023-05-29 01:55:39,processing,7289.91,786 Gina Alley,2021-11-27 02:30:19,2022-06-01 13:15:13
2065,109,2023-09-12 03:58:03,shipped,9097.93,0026 Kinsman Alley,2021-02-20 09:25:13,2022-02-23 11:01:56
2066,250,2023-01-20 10:23:21,processing,1147.53,064 Northridge Trail,2021-09-30 23:34:14,2022-03-30 12:29:09
2067,270,2023-08-03 05:39:14,pending,3158.93,3745 Warbler Park,2021-03-23 13:54:59,2022-08-11 16:55:32
2068,965,2023-01-06 16:53:51,shipped,3597.68,26949 Browning Alley,2021-04-12 15:59:35,2022-07-30 08:47:31
2069,299,2023-11-24 10:32:18,processing,3441.07,3 Alpine Court,2021-03-31 19:36:37,2022-11-18 22:05:41
2070,930,2023-10-10 14:28:40,processing,8113.3,3 Graedel Lane,2021-06-18 11:08:10,2022-06-28 08:00:50
2071,601,2023-08-13 07:39:37,processing,6497.17,98212 Alpine Crossing,2021-04-04 02:38:15,2022-07-20 19:52:35
2072,636,2023-12-24 10:04:15,shipped,6284.05,18534 Grasskamp Park,2021-05-19 17:30:26,2022-08-12 14:20:10
2073,200,2023-10-01 18:15:13,shipped,2652.71,49 Fairfield Terrace,2021-11-21 20:53:23,2022-12-12 17:13:23
2074,159,2023-01-29 05:36:09,processing,1153.77,6512 Daystar Street,2021-04-21 10:40:44,2022-01-09 06:14:05
2075,468,2023-03-31 11:19:34,pending,8486.51,50 Huxley Court,2021-07-02 13:25:02,2022-05-08 15:10:43
2076,684,2023-05-29 10:10:00,shipped,199.51,2 Petterle Terrace,2021-08-18 12:19:17,2022-06-14 17:26:27
2077,833,2023-08-21 05:24:57,shipped,4531.17,313 Schlimgen Street,2021-10-17 06:38:00,2022-03-21 04:01:13
2078,56,2023-10-30 16:34:26,pending,9681.02,54 Acker Lane,2021-08-18 19:40:28,2022-10-11 09:26:46
2079,391,2023-10-07 13:50:42,shipped,7207.54,8 Corry Terrace,2021-11-21 15:38:04,2022-02-13 20:46:22
2080,677,2023-11-19 21:25:13,shipped,3982.82,90812 Basil Court,2021-10-04 15:21:27,2022-05-20 04:27:31
2081,865,2023-11-30 15:49:32,delivered,6503.43,35 Harper Pass,2021-11-04 04:26:24,2022-01-08 18:09:27
2082,617,2023-05-08 14:32:58,processing,1990.7,8245 Algoma Park,2021-07-19 13:10:14,2022-06-28 07:58:53
2083,448,2023-03-16 20:40:46,delivered,9180.17,52756 Toban Crossing,2021-09-29 07:02:14,2022-11-30 06:27:09
2084,372,2023-08-29 22:45:42,pending,1734.85,256 Havey Circle,2021-08-24 03:12:43,2022-06-13 08:44:26
2085,405,2023-01-06 18:08:46,pending,7683.98,99209 Golden Leaf Park,2021-07-23 13:37:15,2022-01-30 04:26:49
2086,904,2023-02-14 20:29:03,pending,3302.37,6 2nd Road,2021-10-04 02:11:31,2022-04-01 00:04:52
2087,87,2023-07-09 10:31:51,pending,1309.57,0 Onsgard Place,2021-08-06 23:07:16,2022-12-25 02:50:50
2088,978,2023-04-08 08:21:22,processing,5451.14,948 Forster Parkway,2021-06-01 03:18:12,2022-06-02 08:54:43
2089,692,2023-07-09 05:07:14,delivered,6021.89,6 Village Green Avenue,2021-04-21 05:08:01,2022-02-10 05:05:50
2090,40,2023-11-25 00:21:54,shipped,8761.71,47960 Darwin Hill,2021-12-10 18:44:14,2022-12-11 13:45:33
2091,763,2023-01-28 12:50:10,processing,6467.78,35995 Park Meadow Alley,2021-04-05 10:56:04,2022-05-04 03:06:34
2092,207,2023-10-23 08:28:42,pending,8702.85,1 Brown Drive,2021-06-29 09:38:10,2022-12-13 23:32:15
2093,707,2023-07-20 04:28:19,shipped,3780.1,002 Browning Park,2021-02-08 17:55:22,2022-06-22 22:03:52
2094,8,2023-01-27 09:09:18,pending,7928.11,6 International Junction,2021-08-14 10:38:21,2022-04-11 20:04:37
2095,528,2023-11-07 04:46:45,shipped,15.86,5571 Lukken Point,2021-07-14 13:10:40,2022-11-29 17:35:43
2096,40,2023-04-23 03:15:22,pending,5311.29,43 Fisk Hill,2021-08-30 03:48:39,2022-11-22 01:26:25
2097,134,2023-05-20 16:12:52,shipped,5594.5,47629 Drewry Terrace,2021-03-19 04:58:57,2022-06-17 01:12:27
2098,47,2023-05-19 05:28:31,delivered,7237.21,404 Claremont Parkway,2021-06-03 13:01:25,2022-02-23 14:41:10
2099,471,2023-05-25 13:48:53,pending,1466.66,49641 Green Ridge Parkway,2021-04-27 16:23:29,2022-04-04 08:33:12
2100,372,2023-08-30 06:42:25,delivered,9965.55,60 Grayhawk Court,2021-12-02 22:47:54,2022-03-11 11:03:46
2101,538,2023-03-03 21:31:45,delivered,178.84,50331 Dayton Parkway,2021-11-26 02:25:10,2022-11-15 09:46:51
2102,940,2023-07-08 19:43:32,shipped,781.42,348 South Lane,2021-05-26 05:07:21,2022-06-20 01:22:56
2103,22,2023-09-14 13:51:22,shipped,2862.11,2817 Lakewood Circle,2021-07-13 11:43:17,2022-10-02 02:25:51
2104,945,2023-07-18 12:29:17,shipped,4601.01,9977 Roth Court,2021-10-06 21:19:35,2022-03-09 13:59:41
2105,619,2023-02-25 08:47:10,delivered,9787.37,0 Meadow Ridge Parkway,2021-04-22 06:19:23,2022-01-14 07:35:42
2106,970,2023-05-18 11:44:08,processing,2417.37,81 Golf Course Street,2021-12-27 23:58:01,2022-12-03 18:43:17
2107,310,2023-11-02 11:28:26,delivered,853.2,25864 Caliangt Way,2021-11-08 15:39:12,2022-06-15 19:19:36
2108,25,2023-07-14 00:56:23,pending,8396.55,65 Holy Cross Junction,2021-04-26 21:17:06,2022-11-07 22:56:28
2109,684,2023-05-09 14:39:46,pending,5825.63,133 Sunfield Place,2021-11-09 17:43:02,2022-12-02 00:41:55
2110,445,2023-05-28 19:56:17,shipped,5922.69,68 Namekagon Street,2021-10-14 20:11:29,2022-10-26 21:09:59
2111,267,2023-02-25 09:16:21,shipped,9777.44,291 Talisman Junction,2021-09-07 07:06:22,2022-11-23 20:06:44
2112,663,2023-05-07 20:22:07,pending,6022.23,608 Ohio Plaza,2021-02-22 13:08:51,2022-09-16 19:01:06
2113,481,2023-09-12 02:48:22,processing,583.73,1595 Cody Point,2021-05-09 11:30:24,2022-11-04 02:19:37
2114,847,2023-01-17 05:07:24,pending,3511.5,2 Kropf Junction,2021-12-20 13:34:29,2022-12-15 17:58:59
2115,784,2023-07-16 09:04:37,processing,4451.65,6528 Oxford Hill,2021-08-22 02:10:09,2022-09-28 00:16:34
2116,336,2023-07-08 13:05:34,processing,6569.32,1 Springs Drive,2021-12-20 19:00:56,2022-03-14 10:24:02
2117,49,2023-12-14 23:38:36,processing,3648.68,2516 Cherokee Circle,2021-01-30 09:45:13,2022-06-08 02:45:12
2118,921,2023-05-14 07:18:07,processing,7178.67,59509 Susan Parkway,2021-05-18 15:29:47,2022-08-17 23:25:57
2119,210,2023-04-04 20:43:02,processing,9883.44,15 Carpenter Center,2021-05-20 09:49:29,2022-01-01 03:01:34
2120,461,2023-12-17 20:11:44,pending,5672.31,2337 Hagan Avenue,2021-08-19 09:26:57,2022-07-21 16:50:42
2121,889,2023-01-11 13:56:36,processing,9591.51,9 Superior Street,2021-03-09 00:56:18,2022-11-14 22:59:07
2122,925,2023-03-16 01:38:55,pending,32.71,9 Hollow Ridge Point,2021-04-05 00:46:20,2022-06-29 16:19:57
2123,913,2023-05-18 04:39:29,shipped,6621.6,4225 Jay Road,2021-11-17 16:02:41,2022-10-27 21:41:05
2124,466,2023-09-21 06:43:51,delivered,2982.55,94 Kings Park,2021-03-09 09:58:39,2022-09-20 10:21:32
2125,188,2023-06-22 09:23:01,processing,5505.63,82 Pearson Street,2021-11-24 03:33:10,2022-06-25 23:39:23
2126,259,2023-06-19 09:39:08,pending,2225.01,4486 Service Avenue,2021-05-16 16:46:48,2022-10-16 00:29:15
2127,674,2023-08-06 13:27:44,pending,8318.63,42 Johnson Parkway,2021-07-18 23:08:15,2022-08-24 16:41:43
2128,406,2023-01-09 14:36:42,shipped,1164.82,80212 Emmet Street,2021-08-10 13:22:12,2022-11-01 01:59:37
2129,173,2023-01-11 02:16:47,processing,8919.49,1 Merry Point,2021-03-10 00:51:05,2022-03-26 03:33:03
2130,370,2023-06-30 18:37:46,shipped,8377.9,773 Chive Court,2021-08-17 22:50:56,2022-04-20 12:25:54
2131,248,2023-04-02 18:56:58,delivered,974.56,06084 Gerald Plaza,2021-09-15 11:21:33,2022-03-04 09:56:16
2132,351,2023-03-27 14:03:37,processing,2953.15,3969 Manufacturers Road,2021-01-26 02:18:56,2022-07-31 10:05:15
2133,186,2023-05-09 18:52:21,processing,8853.35,14328 Memorial Pass,2021-09-25 15:32:37,2022-08-01 07:30:13
2134,771,2023-09-03 17:45:58,shipped,5375.89,15 Pepper Wood Road,2021-02-25 20:16:56,2022-10-16 00:22:11
2135,440,2023-05-08 20:54:36,pending,8962.61,72072 Summerview Road,2021-11-21 12:34:58,2022-05-20 05:24:30
2136,798,2023-05-15 14:37:21,delivered,6177.04,798 Warrior Place,2021-01-24 12:53:58,2022-10-11 23:26:15
2137,398,2023-06-18 12:04:51,delivered,4664.74,0 Morningstar Place,2021-06-07 06:25:01,2022-04-23 21:50:54
2138,358,2023-10-07 02:18:19,processing,7913.23,37 Westridge Alley,2021-07-05 07:49:53,2022-07-09 08:41:00
2139,711,2023-03-25 03:19:27,processing,1131.51,22 Rusk Alley,2021-12-21 08:35:55,2022-11-23 01:36:16
2140,536,2023-02-20 14:26:41,shipped,4259.72,90712 Warrior Way,2021-11-03 22:48:48,2022-05-03 05:35:54
2141,494,2023-03-02 12:30:26,delivered,4056.89,9 Forest Dale Park,2021-05-08 19:59:56,2022-12-11 20:08:38
2142,244,2023-01-16 08:12:09,shipped,3258.17,2518 Carberry Park,2021-09-20 05:22:07,2022-12-17 13:28:42
2143,610,2023-07-28 12:40:10,delivered,9070.81,1614 Katie Pass,2021-08-23 07:10:17,2022-02-19 11:40:40
2144,514,2023-09-18 10:08:34,pending,4586.18,74046 Buell Way,2021-12-12 01:33:26,2022-03-17 20:09:49
2145,515,2023-05-22 16:22:31,delivered,7699.8,2 Lakewood Gardens Street,2021-12-22 10:51:06,2022-12-08 07:29:11
2146,204,2023-06-27 08:39:23,delivered,5577.9,70 Vahlen Junction,2021-12-07 08:28:43,2022-05-23 10:11:29
2147,102,2023-10-24 10:11:13,pending,4405.6,35202 Knutson Point,2021-07-15 00:09:44,2022-10-13 19:15:55
2148,115,2023-12-20 17:19:11,processing,5983.94,4 Warrior Crossing,2021-04-19 07:37:30,2022-04-10 23:33:49
2149,191,2023-11-24 19:34:42,processing,4432.73,74 Lakewood Gardens Place,2021-07-16 17:59:34,2022-08-21 01:05:45
2150,840,2023-01-08 15:31:33,processing,1906.76,3 Elgar Crossing,2021-06-12 08:05:21,2022-06-23 16:36:26
2151,401,2023-03-07 12:28:53,pending,2012.77,480 Stone Corner Park,2021-03-11 13:25:08,2022-01-18 12:37:05
2152,619,2023-07-24 03:44:32,pending,9509.16,203 Northfield Lane,2021-03-20 04:21:18,2022-11-27 22:28:28
2153,433,2023-12-13 13:02:47,delivered,439.3,267 Forest Plaza,2021-04-23 22:54:24,2022-05-22 03:34:37
2154,752,2023-03-19 13:30:32,delivered,3852.35,5661 Ridge Oak Place,2021-11-30 23:40:22,2022-03-26 14:17:42
2155,342,2023-03-24 20:13:53,pending,522.31,469 Forest Avenue,2021-08-29 18:19:26,2022-03-08 14:18:02
2156,99,2023-06-22 07:06:57,delivered,4591.78,2 Old Gate Trail,2021-08-07 12:43:47,2022-11-23 04:48:26
2157,23,2023-10-30 08:22:24,processing,6093.55,9162 Ramsey Road,2021-12-29 14:03:04,2022-05-15 04:52:03
2158,909,2023-02-20 20:28:39,delivered,7884.99,91 Bartillon Terrace,2021-11-03 07:39:31,2022-06-26 05:48:23
2159,419,2023-11-06 01:10:53,processing,7600.52,117 Veith Junction,2021-06-30 07:48:05,2022-03-07 10:40:59
2160,549,2023-03-05 15:54:41,delivered,3170.18,76 Elmside Parkway,2021-10-26 02:11:27,2022-01-14 20:01:23
2161,503,2023-08-11 04:38:12,pending,647.87,08357 Hollow Ridge Court,2021-02-26 14:50:37,2022-04-27 21:03:35
2162,290,2023-03-21 12:51:22,pending,2090.57,54671 Forster Plaza,2021-04-05 09:05:52,2022-10-10 15:30:57
2163,618,2023-05-26 05:28:52,shipped,2551.7,8 Merrick Way,2021-09-29 16:06:27,2022-03-16 11:07:58
2164,864,2023-11-24 21:38:00,shipped,1496.89,61 Acker Center,2021-05-25 12:45:46,2022-04-23 09:34:58
2165,511,2023-07-15 20:04:31,delivered,8754.75,7 Eggendart Crossing,2021-11-09 10:47:31,2022-05-15 11:42:41
2166,888,2023-05-04 11:36:45,shipped,3309.15,2 Gale Avenue,2021-05-28 17:49:36,2022-08-08 11:35:12
2167,959,2023-02-04 09:02:36,shipped,1906.14,48996 Summit Crossing,2021-09-22 17:36:52,2022-11-13 22:22:27
2168,717,2023-12-12 11:45:42,delivered,6651.29,3358 Southridge Pass,2021-04-10 13:36:51,2022-03-29 17:33:52
2169,496,2023-03-19 21:55:28,pending,8069.97,265 Dahle Street,2021-03-09 04:30:00,2022-06-18 06:19:07
2170,155,2023-07-04 00:08:57,shipped,2740.47,35 Dakota Street,2021-02-22 16:43:18,2022-05-25 19:46:55
2171,379,2023-04-10 09:00:53,shipped,9800.0,632 Prentice Alley,2021-02-24 13:16:38,2022-05-08 23:40:04
2172,53,2023-05-13 10:24:21,shipped,7748.43,9 Starling Junction,2021-04-26 20:37:12,2022-04-20 15:33:12
2173,443,2023-12-16 15:34:29,shipped,8554.72,3 Mallory Way,2021-12-20 23:23:09,2022-11-12 22:55:16
2174,609,2023-09-06 18:16:17,pending,8122.18,1 Eastwood Trail,2021-08-30 10:42:17,2022-04-17 05:09:59
2175,800,2023-07-09 07:26:47,processing,1985.39,80520 Washington Lane,2021-10-24 23:40:15,2022-03-23 14:26:31
2176,715,2023-10-14 06:15:25,processing,7961.88,08491 Hoepker Alley,2021-05-17 16:38:18,2022-12-18 08:27:57
2177,519,2023-05-18 13:27:19,processing,8973.35,3570 Ronald Regan Parkway,2021-05-29 08:32:22,2022-06-23 00:10:32
2178,323,2023-12-17 03:38:09,shipped,1310.48,83776 Oriole Drive,2021-05-28 16:47:27,2022-09-26 02:36:15
2179,338,2023-04-22 23:11:39,delivered,1545.24,875 Declaration Pass,2021-03-12 12:06:59,2022-09-30 04:39:47
2180,631,2023-12-30 22:13:46,shipped,4866.13,011 Fisk Drive,2021-05-25 01:42:32,2022-12-05 00:39:02
2181,898,2023-03-14 22:09:46,delivered,7523.58,1462 Tennyson Center,2021-04-27 21:50:52,2022-07-25 01:28:35
2182,462,2023-01-20 07:31:01,processing,9984.77,763 Michigan Point,2021-01-13 17:20:00,2022-06-16 02:26:37
2183,396,2023-03-12 17:46:35,shipped,9409.93,0 Orin Plaza,2021-04-29 10:08:02,2022-06-24 00:54:45
2184,882,2023-11-06 21:27:11,processing,2319.95,544 Ilene Junction,2021-01-04 03:50:45,2022-06-26 18:24:39
2185,503,2023-06-14 07:10:01,pending,1055.98,56454 Garrison Way,2021-08-08 06:40:54,2022-08-27 14:41:01
2186,966,2023-11-05 14:15:39,pending,6197.76,88 Grover Junction,2021-06-01 06:54:20,2022-03-14 04:29:45
2187,937,2023-10-26 19:31:53,delivered,4001.49,5 Ludington Alley,2021-04-16 23:32:59,2022-06-16 19:10:02
2188,92,2023-08-07 12:17:33,shipped,4953.19,759 Meadow Valley Way,2021-03-16 14:42:32,2022-05-02 00:51:21
2189,70,2023-02-19 21:24:28,shipped,5510.34,2 Carpenter Park,2021-04-21 16:31:38,2022-05-16 22:10:12
2190,496,2023-06-26 22:45:47,pending,3909.99,2325 Almo Road,2021-07-17 19:00:23,2022-05-12 12:39:23
2191,932,2023-02-06 19:24:46,delivered,5178.22,2599 Sunnyside Terrace,2021-12-30 14:37:56,2022-07-30 17:01:27
2192,429,2023-07-28 23:14:49,delivered,8672.52,6 Warner Center,2021-03-11 08:01:28,2022-11-03 18:34:57
2193,876,2023-05-10 06:00:25,pending,8405.03,9311 Birchwood Trail,2021-10-27 13:56:25,2022-11-30 21:59:17
2194,951,2023-06-17 15:40:30,shipped,3425.95,57834 Ridgeway Terrace,2021-08-06 14:49:41,2022-03-12 15:29:27
2195,273,2023-07-21 20:17:55,delivered,5304.0,84498 Burning Wood Road,2021-02-26 17:46:39,2022-11-13 07:37:32
2196,996,2023-12-07 16:06:04,processing,4609.88,28 Dayton Court,2021-06-09 16:21:20,2022-09-07 21:30:55
2197,902,2023-12-16 05:37:00,delivered,5081.4,248 Warner Lane,2021-07-07 13:15:12,2022-05-02 13:28:40
2198,271,2023-09-08 14:46:18,processing,4155.2,2 Rockefeller Pass,2021-08-29 01:37:02,2022-10-02 20:54:30
2199,992,2023-02-28 04:51:15,shipped,6502.65,27632 Clarendon Junction,2021-01-24 23:43:55,2022-03-04 01:42:58
2200,14,2023-04-12 09:07:50,processing,1951.74,55651 Lien Plaza,2021-06-27 00:11:57,2022-01-25 13:34:33
2201,718,2023-02-13 20:14:28,pending,2427.01,70921 Sunbrook Avenue,2021-09-08 01:35:13,2022-11-24 07:35:37
2202,651,2023-07-30 07:09:43,pending,2583.23,783 Maryland Court,2021-03-24 23:35:33,2022-01-01 03:05:54
2203,98,2023-03-30 09:31:06,shipped,638.99,71 Nova Court,2021-11-29 11:17:12,2022-11-01 23:19:38
2204,415,2023-05-19 09:29:28,processing,5040.0,78162 Parkside Court,2021-09-12 02:00:12,2022-02-13 06:57:11
2205,868,2023-06-28 11:39:50,processing,3338.07,4587 Almo Avenue,2021-03-12 15:51:59,2022-03-21 18:17:26
2206,544,2023-03-01 02:05:22,shipped,4028.45,2812 Cody Way,2021-01-09 04:31:39,2022-08-27 03:01:49
2207,15,2023-09-13 03:03:14,shipped,9875.5,3 Oak Lane,2021-05-19 05:34:51,2022-05-13 14:24:10
2208,348,2023-02-09 17:26:36,pending,2692.25,00949 Vera Street,2021-03-12 16:55:44,2022-11-07 07:29:28
2209,995,2023-04-19 00:05:13,shipped,7191.27,9923 Grover Street,2021-06-19 00:49:10,2022-03-16 02:12:54
2210,539,2023-10-16 02:29:23,shipped,1584.5,3 Thompson Junction,2021-09-09 20:46:10,2022-10-15 18:35:12
2211,552,2023-08-06 16:13:54,processing,8480.48,3 South Point,2021-09-01 17:02:31,2022-09-15 03:26:08
2212,871,2023-10-03 20:21:06,pending,5621.78,3 Maple Terrace,2021-02-26 04:24:08,2022-11-04 12:21:36
2213,885,2023-08-23 16:36:39,delivered,4509.8,31 Hudson Point,2021-09-03 11:30:43,2022-08-12 00:53:59
2214,966,2023-10-19 10:07:32,delivered,1340.43,71 Valley Edge Court,2021-03-18 09:14:19,2022-06-14 21:28:46
2215,260,2023-06-23 19:12:26,delivered,3670.26,8497 Eastwood Pass,2021-08-19 18:41:04,2022-06-17 22:12:55
2216,484,2023-07-07 17:10:39,shipped,4456.27,541 Macpherson Center,2021-12-09 00:43:47,2022-09-19 10:01:19
2217,920,2023-02-21 16:04:56,processing,4724.92,7 Charing Cross Park,2021-07-01 22:35:02,2022-04-28 15:45:16
2218,34,2023-11-27 04:02:56,delivered,2476.17,60385 Westport Road,2021-11-20 18:06:29,2022-01-15 01:44:34
2219,8,2023-09-27 11:53:27,delivered,3913.12,88 Main Center,2021-10-16 16:38:10,2022-11-17 11:46:51
2220,661,2023-09-10 03:15:08,processing,5001.73,760 Graedel Way,2021-07-17 06:07:23,2022-10-14 01:12:11
2221,538,2023-03-24 12:13:19,delivered,3754.36,72458 Corscot Center,2021-09-28 00:43:08,2022-12-08 01:51:39
